Date,US_10Y_YIELD,JPN_10Y_YIELD,USD_JPY
2022-11-16,3.691999912261963,,138.96499633789062
2022-11-17,3.7750000953674316,,139.32200622558594
2022-11-18,3.818000078201294,,140.41200256347656
2022-11-21,3.825000047683716,,140.2530059814453
2022-11-22,3.757999897003174,,142.09800720214844
2022-11-23,3.7060000896453857,,141.15499877929688
2022-11-25,3.690999984741211,,138.60299682617188
2022-11-28,3.703000068664551,,139.10000610351562
2022-11-29,3.747999906539917,,138.718994140625
2022-11-30,3.703000068664551,,138.7449951171875
2022-12-01,3.5290000438690186,,137.35899353027344
2022-12-02,3.50600004196167,,135.14999389648438
2022-12-05,3.5989999771118164,,134.47500610351562
2022-12-06,3.513000011444092,,136.65199279785156
2022-12-07,3.4079999923706055,,136.88600158691406
2022-12-08,3.490999937057495,,136.38099670410156
2022-12-09,3.566999912261963,,136.61399841308594
2022-12-12,3.6110000610351562,,136.71200561523438
2022-12-13,3.500999927520752,,137.50399780273438
2022-12-14,3.503000020980835,,135.58399963378906
2022-12-15,3.450000047683716,,135.34800720214844
2022-12-16,3.4820001125335693,,137.75100708007812
2022-12-19,3.5810000896453857,,136.69000244140625
2022-12-20,3.684000015258789,,136.9949951171875
2022-12-21,3.684000015258789,,131.89199829101562
2022-12-22,3.6689999103546143,,132.3699951171875
2022-12-23,3.750999927520752,,132.35699462890625
2022-12-27,3.859999895095825,,132.76400756835938
2022-12-28,3.88700008392334,,133.48599243164062
2022-12-29,3.8350000381469727,,134.03399658203125
2022-12-30,3.878999948501587,,132.91600036621094
2023-01-03,3.7929999828338623,,130.79400634765625
2023-01-04,3.7090001106262207,,131.2480010986328
2023-01-05,3.7200000286102295,,132.24600219726562
2023-01-06,3.569000005722046,,133.3070068359375
2023-01-09,3.5169999599456787,,131.86199951171875
2023-01-10,3.621000051498413,,131.72900390625
2023-01-11,3.553999900817871,,132.1009979248047
2023-01-12,3.4489998817443848,,131.90199279785156
2023-01-13,3.510999917984009,,129.1719970703125
2023-01-17,3.5350000858306885,,128.3209991455078
2023-01-18,3.375,,128.281005859375
2023-01-19,3.3970000743865967,,128.53900146484375
2023-01-20,3.4839999675750732,,128.3699951171875
2023-01-23,3.5250000953674316,,129.35400390625
2023-01-24,3.4690001010894775,,130.5970001220703
2023-01-25,3.4619998931884766,,130.23899841308594
2023-01-26,3.493000030517578,,129.23699951171875
2023-01-27,3.5179998874664307,,129.8000030517578
2023-01-30,3.5510001182556152,,129.85400390625
2023-01-31,3.5290000438690186,,130.47900390625
2023-02-01,3.3970000743865967,,130.11000061035156
2023-02-02,3.3959999084472656,,128.6219940185547
2023-02-03,3.5320000648498535,,128.74600219726562
2023-02-06,3.634000062942505,,132.00900268554688
2023-02-07,3.6740000247955322,,132.6230010986328
2023-02-08,3.6530001163482666,,131.04200744628906
2023-02-09,3.683000087738037,,131.38699340820312
2023-02-10,3.74399995803833,,131.5189971923828
2023-02-13,3.7170000076293945,,131.55099487304688
2023-02-14,3.760999917984009,,132.33700561523438
2023-02-15,3.809000015258789,,132.99099731445312
2023-02-16,3.8429999351501465,,133.9029998779297
2023-02-17,3.828000068664551,,134.07400512695312
2023-02-21,3.9549999237060547,,134.33599853515625
2023-02-22,3.9230000972747803,,134.9759979248047
2023-02-23,3.878999948501587,,134.9320068359375
2023-02-24,3.9489998817443848,,134.6280059814453
2023-02-27,3.921999931335449,,136.39500427246094
2023-02-28,3.9159998893737793,,136.31700134277344
2023-03-01,3.99399995803833,,136.34800720214844
2023-03-02,4.072999954223633,,136.19400024414062
2023-03-03,3.9639999866485596,,136.7050018310547
2023-03-06,3.9830000400543213,,135.86000061035156
2023-03-07,3.9749999046325684,,135.99899291992188
2023-03-08,3.9760000705718994,,137.39100646972656
2023-03-09,3.924999952316284,,137.2259979248047
2023-03-10,3.694999933242798,,136.39500427246094
2023-03-13,3.515000104904175,,134.97999572753906
2023-03-14,3.638000011444092,,133.11399841308594
2023-03-15,3.492000102996826,,134.39700317382812
2023-03-16,3.5850000381469727,,132.9290008544922
2023-03-17,3.3949999809265137,,133.3679962158203
2023-03-20,3.4809999465942383,,132.28399658203125
2023-03-21,3.6059999465942383,,131.39199829101562
2023-03-22,3.5,,132.34800720214844
2023-03-23,3.4059998989105225,,131.1790008544922
2023-03-24,3.380000114440918,,130.86500549316406
2023-03-27,3.5280001163482666,,130.8459930419922
2023-03-28,3.563999891281128,,131.23300170898438
2023-03-29,3.565999984741211,,131.04600524902344
2023-03-30,3.5510001182556152,,132.5760040283203
2023-03-31,3.49399995803833,,133.2010040283203
2023-04-03,3.430000066757202,,133.3470001220703
2023-04-04,3.3369998931884766,,132.2989959716797
2023-04-05,3.2869999408721924,,131.48500061035156
2023-04-06,3.2880001068115234,,130.9340057373047
2023-04-10,3.4149999618530273,,132.0970001220703
2023-04-11,3.434000015258789,,133.468994140625
2023-04-12,3.4210000038146973,,133.593994140625
2023-04-13,3.4519999027252197,,133.0850067138672
2023-04-14,3.5220000743865967,,132.48699951171875
2023-04-17,3.5910000801086426,,133.9709930419922
2023-04-18,3.572000026702881,,134.4250030517578
2023-04-19,3.6019999980926514,,134.04400634765625
2023-04-20,3.5450000762939453,,134.70399475097656
2023-04-21,3.569999933242798,,133.99600219726562
2023-04-24,3.515000104904175,,133.96099853515625
2023-04-25,3.3959999084472656,,134.08399963378906
2023-04-26,3.431999921798706,,133.71099853515625
2023-04-27,3.5280001163482666,,133.46499633789062
2023-04-28,3.4519999027252197,,133.802001953125
2023-05-01,3.5739998817443848,,136.38600158691406
