Date,Nikkei_225.Percent.Change,Nikkei_225.High.Low.Diff
2023-03-29 00:00:00+09:00,1.2138577640127166,392.240234375
2023-03-30 00:00:00+09:00,-0.16156789641687044,245.830078125
2023-03-31 00:00:00+09:00,0.11517552011506256,138.0
2023-04-03 00:00:00+09:00,-0.05389153756739472,138.19921875
2023-04-04 00:00:00+09:00,0.26047500362049664,148.30078125
2023-04-05 00:00:00+09:00,-1.059296656423619,344.80078125
2023-04-06 00:00:00+09:00,-0.4223029894574688,182.19921875
2023-04-07 00:00:00+09:00,-0.13086343427415556,134.900390625
2023-04-10 00:00:00+09:00,-0.08987962993432318,140.310546875
2023-04-11 00:00:00+09:00,0.09846877001765983,213.5703125
2023-04-12 00:00:00+09:00,0.3457792266705451,137.490234375
2023-04-13 00:00:00+09:00,0.7312048634821766,211.859375
2023-04-14 00:00:00+09:00,0.6070702593018731,232.689453125
2023-04-17 00:00:00+09:00,-0.08133346920849956,184.76953125
2023-04-18 00:00:00+09:00,0.31956205756916517,177.4609375
2023-04-19 00:00:00+09:00,-0.045702834804145234,145.681640625
2023-04-20 00:00:00+09:00,0.6517642332818208,251.80078125
2023-04-21 00:00:00+09:00,-0.09157445348051921,250.568359375
2023-04-24 00:00:00+09:00,-0.13362692282688782,113.41015625
2023-04-25 00:00:00+09:00,-0.2706142784864711,196.919921875
2023-04-26 00:00:00+09:00,-0.21787940225232805,231.83984375
2023-04-27 00:00:00+09:00,0.41315245870163864,218.060546875
2023-04-28 00:00:00+09:00,0.5243843377745192,379.73046875
2023-05-01 00:00:00+09:00,0.22413377531856019,129.060546875
2023-05-02 00:00:00+09:00,-0.4127613128792923,195.669921875
2023-05-08 00:00:00+09:00,-0.5003532284218517,212.30859375
2023-05-09 00:00:00+09:00,0.7656258549363084,241.728515625
2023-05-10 00:00:00+09:00,-0.23032486230491608,125.05078125
2023-05-11 00:00:00+09:00,0.054727615217832946,136.87890625
2023-05-12 00:00:00+09:00,0.6472757735396328,284.541015625
2023-05-15 00:00:00+09:00,0.2683882506205016,153.5
2023-05-16 00:00:00+09:00,0.016691692204410257,137.490234375
2023-05-17 00:00:00+09:00,0.6056021974031106,202.880859375
2023-05-18 00:00:00+09:00,0.464603445376749,285.23046875
2023-05-19 00:00:00+09:00,-0.12646063201317376,245.41015625
2023-05-22 00:00:00+09:00,1.1423499385258038,397.55078125
