Open,High,Low,Close,Volume,Dividends,Stock Splits
143.89199829101562,143.94900512695312,143.5500030517578,143.79400634765625,0,0.0,0.0
143.79100036621094,144.02200317382812,143.6840057373047,143.91900634765625,0,0.0,0.0
143.91799926757812,144.052001953125,143.51300048828125,143.57200622558594,0,0.0,0.0
143.56900024414062,143.7480010986328,143.44000244140625,143.70799255371094,0,0.0,0.0
143.70700073242188,143.76600646972656,143.44200134277344,143.65199279785156,0,0.0,0.0
143.656005859375,143.88299560546875,143.59800720214844,143.73500061035156,0,0.0,0.0
143.73800659179688,143.82200622558594,143.52999877929688,143.69200134277344,0,0.0,0.0
143.69200134277344,143.98800659179688,143.6580047607422,143.93099975585938,0,0.0,0.0
143.9290008544922,143.95599365234375,143.78900146484375,143.89500427246094,0,0.0,0.0
143.8939971923828,144.08999633789062,143.8800048828125,143.96400451660156,0,0.0,0.0
143.96400451660156,143.97799682617188,143.73800659179688,143.86500549316406,0,0.0,0.0
143.8679962158203,144.0449981689453,143.8260040283203,144.03500366210938,0,0.0,0.0
144.03900146484375,144.1009979248047,143.9219970703125,144.08200073242188,0,0.0,0.0
144.0800018310547,144.21600341796875,144.04600524902344,144.052001953125,0,0.0,0.0
144.04800415039062,144.0659942626953,143.8419952392578,143.86700439453125,0,0.0,0.0
143.86399841308594,143.8979949951172,143.67999267578125,143.76499938964844,0,0.0,0.0
143.76400756835938,143.80999755859375,143.593994140625,143.79299926757812,0,0.0,0.0
143.79299926757812,143.91000366210938,143.68800354003906,143.88999938964844,0,0.0,0.0
143.88499450683594,143.96200561523438,143.78500366210938,143.8000030517578,0,0.0,0.0
143.8040008544922,143.9340057373047,143.7740020751953,143.85699462890625,0,0.0,0.0
143.86300659179688,143.98699951171875,143.8159942626953,143.91900634765625,0,0.0,0.0
143.91799926757812,144.00100708007812,143.89199829101562,143.96499633789062,0,0.0,0.0
143.9669952392578,144.06300354003906,143.96499633789062,144.04800415039062,0,0.0,0.0
144.04800415039062,144.11900329589844,144.00399780273438,144.031005859375,0,0.0,0.0
144.0290069580078,144.18800354003906,143.9600067138672,144.14300537109375,0,0.0,0.0
144.13999938964844,144.22999572753906,144.093994140625,144.1320037841797,0,0.0,0.0
144.1269989013672,144.1959991455078,144.03399658203125,144.12899780273438,0,0.0,0.0
144.12899780273438,144.36500549316406,143.9080047607422,143.9320068359375,0,0.0,0.0
143.9320068359375,144.07699584960938,143.85000610351562,144.05499267578125,0,0.0,0.0
144.05799865722656,144.4149932861328,144.03599548339844,144.40699768066406,0,0.0,0.0
144.41000366210938,144.45700073242188,144.20599365234375,144.27000427246094,0,0.0,0.0
144.26699829101562,144.302001953125,144.1020050048828,144.14199829101562,0,0.0,0.0
144.14500427246094,144.60499572753906,144.1300048828125,144.54200744628906,0,0.0,0.0
144.53900146484375,144.55799865722656,144.41799926757812,144.50799560546875,0,0.0,0.0
144.50399780273438,144.57699584960938,144.4499969482422,144.53500366210938,0,0.0,0.0
144.53599548339844,144.6020050048828,144.44200134277344,144.45899963378906,0,0.0,0.0
144.45799255371094,144.4600067138672,144.31399536132812,144.42999267578125,0,0.0,0.0
144.42999267578125,144.55599975585938,144.41799926757812,144.51800537109375,0,0.0,0.0
144.52499389648438,144.58399963378906,144.50399780273438,144.55799865722656,0,0.0,0.0
144.5570068359375,144.6540069580078,144.4980010986328,144.5019989013672,0,0.0,0.0
144.5030059814453,144.5749969482422,144.4929962158203,144.54400634765625,0,0.0,0.0
144.5449981689453,144.5989990234375,144.53900146484375,144.5959930419922,0,0.0,0.0
144.59300231933594,144.61099243164062,144.50399780273438,144.50900268554688,0,0.0,0.0
144.5050048828125,144.5449981689453,144.4499969482422,144.51699829101562,0,0.0,0.0
144.50799560546875,144.5469970703125,144.42799377441406,144.50399780273438,0,0.0,0.0
144.50599670410156,144.5469970703125,144.47300720214844,144.4810028076172,0,0.0,0.0
144.47300720214844,144.51100158691406,144.3520050048828,144.37100219726562,0,0.0,0.0
144.3730010986328,144.41299438476562,144.31100463867188,144.38600158691406,0,0.0,0.0
144.36099243164062,144.38900756835938,144.22799682617188,144.3719940185547,0,0.0,0.0
144.3699951171875,144.5279998779297,144.36900329589844,144.5019989013672,0,0.0,0.0
144.50900268554688,144.6959991455078,144.44700622558594,144.63600158691406,0,0.0,0.0
144.63600158691406,144.85899353027344,144.6179962158203,144.83799743652344,0,0.0,0.0
144.84500122070312,144.9510040283203,144.71400451660156,144.72799682617188,0,0.0,0.0
144.7270050048828,144.78199768066406,144.60000610351562,144.69500732421875,0,0.0,0.0
144.69500732421875,144.85400390625,144.64300537109375,144.83599853515625,0,0.0,0.0
144.82899475097656,144.96200561523438,144.8090057373047,144.8699951171875,0,0.0,0.0
144.86900329589844,144.9709930419922,144.79800415039062,144.9250030517578,0,0.0,0.0
144.92300415039062,144.96099853515625,144.81199645996094,144.82899475097656,0,0.0,0.0
144.83200073242188,144.8350067138672,144.74600219726562,144.77200317382812,0,0.0,0.0
144.77099609375,144.79600524902344,144.62100219726562,144.63800048828125,0,0.0,0.0
144.6320037841797,144.7169952392578,144.5679931640625,144.68299865722656,0,0.0,0.0
144.6840057373047,144.89199829101562,144.67999267578125,144.78700256347656,0,0.0,0.0
144.78599548339844,144.86000061035156,144.66600036621094,144.71800231933594,0,0.0,0.0
144.71299743652344,144.86000061035156,144.63800048828125,144.82400512695312,0,0.0,0.0
144.81900024414062,145.10000610351562,144.7740020751953,145.06700134277344,0,0.0,0.0
145.06399536132812,145.1750030517578,144.86399841308594,144.9969940185547,0,0.0,0.0
